"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"ALLEE",NULL,"JEAN-BAPTISTE LULLY",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"JEAN-JACQUES ROUSSEAU",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"AVENUE",NULL,"JEAN JAURES",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"JEAN MACE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DES","JONQUILLES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE",NULL,"JULES FERRY",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"JULES FERRY",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE",NULL,"JUSTIN GODART",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"KELLOGG",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DE","L'ANCIEN PONT",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE","DE","L'ECLUSE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","L'HIPPODROME",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"LAKANAL",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DES","LANDES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"LEDRU ROLLIN",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"LEDRU ROLLIN",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"QUAI",NULL,"LEON BLUM",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"AVENUE",NULL,"LEON BOURGEOIS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"LEROY",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
NULL,NULL,"LES BONS RAISINS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"CHEMIN","DE LA","LIBERTE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DE LA","LIBERTE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE","DES","LILAS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE","LOCARNO",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DE","LONGCHAMP",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"ALLEE",NULL,"LOUIS CHEVROLET",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"LOUIS LOUCHEUR",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"COURS",NULL,"MADELEINE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE","DES","MARAICHERS",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"QUAI",NULL,"MARCEL DASSAULT",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PLACE",NULL,"MARCEL LEGRAS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"MARCEL MONGE",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"MARECHAL DE LATTRE DE TASSIGNY",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DU","MARECHAL JUIN",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PLACE",NULL,"MARGUERITE NASEAU",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE","DES","MARRONNIERS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"MAURICE PAYRET DORTAIL",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE",NULL,"MAURICE RAVEL",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"MERLIN DE THIONVILLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DES","MEUNIERS",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE",NULL,"MICHELET",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DES","MIMOSAS",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE","DU","MONT VALERIEN",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","MONTRETOUT",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"CHEMIN","DE LA","MOTTE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","MOUETTES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","MOULINEAUX",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PLACE","DU","MOUTIER",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE","DES","MYOSOTIS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","NOUVELLES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","NOUVELLES",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","OLIVIERS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","ORANGERS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"PAGES",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"PAGES",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE","DE LA","PAIX",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"PAS","DU","PANORAMA",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","PARECHAUX",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","PARIGOTS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"IMPASSE","DU","PAS SAINT-MAURICE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","PAS SAINT-MAURICE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE LA","PASSERELLE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"PASTEUR",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE",NULL,"PAUL BERT",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","PAVILLONS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE","DE LA","PEPINIERE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"PERRONET",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"IMPASSE","DES","PETITS CLOS",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PASSAGE","DES","PETITS CLOS",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE",NULL,"PIERRE DUPONT",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PASSAGE",NULL,"PIERRE LOTI",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"ALLEE","DES","PINSONS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE","DES","PLATANES",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE","DU","POINT HAUT",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"CHEMIN","DES","PONEYS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","PORT AUX VINS",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE LA","POTERIE",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE","DE LA","POTERIE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DU","PRESIDENT WILSON",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","PRIMEVERES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DE LA","PROCESSION",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE LA","PROCESSION",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE","DU","PROFESSEUR LOUIS-RENE NOUGIER",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","PUITS",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE",NULL,"PUITS D'AMOUR",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE",NULL,"PUITS D AMOUR",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DES","RAGUIDELLES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","RATRAIT",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"PLACE","DU","RATRAIT",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"CITE",NULL,"RAYMOND COSSON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"RAYMOND COSSON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"PLACE","DE LA","REPUBLIQUE",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DE LA","REPUBLIQUE",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
NULL,NULL,"RESIDENCE ALBERT CARON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
NULL,NULL,"RESIDENCE ALBERT CARON",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","RIVES DE BAGATELLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"ROBERT JOYEUX",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"ROGER SALENGRO",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES BAS","ROGERS",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE","DES BAS","ROGERS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"CHEMIN","DES","ROSES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","ROSES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"CITE",NULL,"ROUGET DE LISLE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"ROUGET DE LISLE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE","DE","SAINT-CLOUD",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PROMENADE",NULL,"SAINT-LEUFROY",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"SALOMON DE ROTHSCHILD",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE",NULL,"SANTOS DUMONT",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE",NULL,"SCHEURER KESTNER",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","SEVRES",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"AVENUE",NULL,"SISLEY",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"IMPASSE","DES","SOMMELIERS DE LA GROUE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"SENTE","DES","SORBIERS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","SOURCES",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE","DE","STALINGRAD",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"VILLA","DE LA","STATION",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DE","SULLY",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"CHEMIN","DU","SYNDICAT DES CULTIVATEURS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"CHEMIN","DU","SYNDICAT DES CULTIVATEURS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE LA","TERRASSE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","TERRES BLANCHES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","TERTRE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","TILLEULS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE","DES","TOURNEROCHES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"SQUARE","DES","TOURTERELLES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"CITE","DE LA","TUILERIE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE LA","TUILERIE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"PASSAGE","DU","VAL D'OR",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DU","VAL D'OR",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DU","VAL D'OR",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","VELETTES",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DE LA","VENELLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","VERDUN",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","VERDUN",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"VICTOR DIEDERICH",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"VICTOR HUGO",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"IMPASSE","DES","VIGNERONS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","VIGNES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","VIOLETTES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"VOLTAIRE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"WASHINGTON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE",NULL,"WILLIAM PENN",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"WORTH",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
